distance_km,order_hour,order_day_of_week,order_month,is_weekend,is_peak_hour,pickup_wait_min,Delivery_person_Age,Delivery_person_Ratings,multiple_deliveries,Vehicle_condition,traffic_encoded,weather_encoded,city_encoded,vehicle_encoded,order_type_encoded,festival_encoded,Time_taken (min)
10.280582064622465,21,5,2,1,1,15.0,36,4.2,3,2,4,4,2,1,3,0,46
6.242318682700942,14,6,2,1,1,10.0,21,4.7,1,1,3,6,2,1,2,0,23
13.787860239172238,17,4,3,0,0,10.0,23,4.7,1,1,2,5,2,2,1,0,21
2.930257800762021,9,6,2,1,0,10.0,34,4.3,0,0,1,5,2,1,0,0,20
19.39661829066188,19,0,2,0,1,15.0,24,4.7,1,1,4,4,2,2,3,0,41
13.763977224427299,20,5,4,1,1,10.0,29,4.5,1,2,4,5,2,0,0,0,20
6.218001190187312,14,1,3,0,1,15.0,35,4.0,1,1,3,3,2,2,2,0,33
16.849939918016943,20,2,3,0,1,10.0,33,4.2,1,2,4,5,2,1,3,0,40
10.757108800258175,20,6,3,1,1,10.0,34,4.9,1,0,4,2,2,1,3,0,41
4.540574388730574,21,1,2,0,1,15.0,21,4.7,1,0,4,3,1,1,2,0,15
12.25607644546856,20,2,3,0,1,5.0,25,4.1,2,0,4,5,2,1,3,0,36
19.61873934880106,22,3,3,0,1,15.0,31,4.7,0,2,1,5,2,0,2,0,26
1.5581322655562497,8,4,3,0,0,15.0,37,5.0,1,1,1,5,2,1,3,0,20
20.18063511411397,19,6,3,1,1,15.0,33,4.3,1,2,4,3,2,2,2,0,39
6.116971669681921,12,5,3,1,1,5.0,25,4.0,1,1,3,2,2,1,0,0,34
17.075594401072465,18,6,3,1,1,15.0,29,4.5,1,2,2,1,2,0,2,0,15
4.47028648943395,20,1,4,0,1,5.0,27,5.0,0,0,4,6,1,1,3,0,18
13.682044526080338,23,5,3,1,0,10.0,35,4.3,0,1,1,2,2,2,1,0,38
13.97318265391717,21,2,3,0,1,15.0,32,4.0,1,0,4,3,2,1,0,0,47
16.85361872985407,23,5,4,1,0,10.0,23,4.8,0,2,1,3,1,0,0,0,12
4.674172124263596,22,4,4,0,1,15.0,31,4.8,1,2,1,5,2,1,1,0,26
7.601616771071131,22,5,3,1,1,5.0,36,4.1,1,0,1,6,1,1,1,0,22
7.720324413180035,23,4,2,0,0,10.0,26,4.3,0,0,1,5,1,1,0,0,21
6.1756362610176,13,4,2,0,1,5.0,38,4.9,1,1,3,2,1,2,1,0,25
8.007499665635176,21,1,3,0,1,10.0,32,3.5,0,1,4,6,1,2,3,0,35
19.91468696554527,22,5,4,1,1,10.0,32,4.6,1,2,1,2,2,2,1,0,30
10.724517748045963,18,1,3,0,1,15.0,33,4.9,1,1,2,1,2,1,3,0,22
6.127835452843913,14,6,4,1,1,10.0,20,4.7,0,1,3,3,1,2,3,0,10
1.5203573134015247,11,2,3,0,1,10.0,20,4.8,1,2,1,5,2,2,2,0,19
3.0734537599374083,9,4,4,0,0,10.0,35,5.0,1,2,1,1,1,2,3,0,11
3.10513147754577,8,0,3,0,0,15.0,26,4.9,0,2,1,6,2,2,0,0,11
10.86742683448041,23,4,3,0,0,10.0,22,4.8,1,1,1,4,2,1,3,0,28
10.865464603780305,17,0,3,0,0,5.0,35,4.3,1,1,2,2,2,1,3,0,33
12.236723616598821,19,2,4,0,1,10.0,30,4.7,1,1,2,2,2,2,1,0,33
13.682516298591963,19,0,4,0,1,5.0,37,4.7,3,0,4,5,2,1,3,0,52
16.826241648658563,19,1,3,0,1,15.0,28,4.6,1,1,4,6,2,2,3,0,22
3.0272369309751475,10,6,2,1,0,5.0,37,4.9,1,1,1,4,1,2,3,0,16
9.175193844437283,21,3,3,0,1,5.0,23,4.9,0,2,4,1,2,0,1,0,11
9.315069177421467,19,5,3,1,1,15.0,27,4.9,1,1,2,3,2,2,1,0,25
6.209021101535329,16,2,3,0,0,10.0,37,4.8,1,0,2,2,1,1,1,0,26
1.5203447277394997,11,5,3,1,1,10.0,33,5.0,1,2,3,1,2,2,3,0,18
6.037225392444489,15,6,4,1,0,5.0,31,4.9,1,1,2,4,2,1,3,0,16
17.078665498349924,22,4,3,0,1,10.0,31,4.8,1,2,1,6,2,2,1,0,23
8.007499665635176,22,6,2,1,1,15.0,25,5.0,0,0,1,2,2,1,3,0,15
12.464329297636855,20,0,4,0,1,10.0,28,4.8,1,0,4,5,2,1,1,0,36
9.12142598198074,22,5,3,1,1,15.0,31,4.7,0,2,1,2,2,1,3,0,16
14.02323208308413,17,3,3,0,0,5.0,24,4.7,0,0,2,1,1,1,0,0,19
13.392612276663753,22,0,2,0,1,15.0,39,4.6,1,1,1,1,2,1,3,0,27
8.007499665635176,20,2,3,0,1,15.0,39,4.2,1,2,4,4,3,2,3,0,49
1.4899271643867567,9,5,3,1,0,15.0,32,4.5,0,2,1,3,2,2,0,0,20
8.007499665635176,20,6,3,1,1,5.0,36,4.7,1,1,4,2,2,1,3,0,30
11.916582838287255,22,1,3,0,1,10.0,25,4.8,0,1,1,5,1,2,1,0,18
4.663566689152346,21,2,3,0,1,5.0,33,4.9,0,2,4,1,2,2,1,0,22
10.641157729337486,22,5,3,1,1,15.0,30,4.4,1,2,1,2,2,2,1,0,34
16.818368923733058,23,3,3,0,0,5.0,33,5.0,0,0,1,5,1,1,0,0,24
6.128551257918874,15,3,3,0,0,15.0,36,4.9,1,2,2,4,2,2,1,0,17
2.996250036666747,10,1,2,0,0,10.0,21,4.8,0,2,1,5,2,0,2,0,14
7.342175722857832,20,1,2,0,1,5.0,39,4.9,1,2,4,6,2,1,2,0,30
8.007499665635176,10,0,3,0,0,10.0,23,4.8,1,1,1,6,2,2,2,0,15
8.007499665635176,15,0,3,0,0,10.0,35,4.8,1,2,2,4,1,2,0,0,16
13.972123977178395,20,2,3,0,1,5.0,39,4.6,1,1,4,2,2,2,3,0,36
6.0814407970077005,12,3,3,0,1,5.0,22,4.7,1,1,3,1,1,2,0,0,18
6.080891507841841,15,1,3,0,0,15.0,32,4.6,0,1,2,4,2,2,2,0,17
8.007499665635176,22,4,3,0,1,5.0,24,4.8,1,1,1,5,1,1,0,0,15
8.007499665635176,10,2,3,0,0,10.0,29,4.7,1,0,1,4,2,1,0,0,17
6.210589610313767,19,4,3,0,1,10.0,30,4.7,0,1,1,4,2,2,1,0,19
9.220373067021596,23,5,3,1,0,15.0,26,4.7,0,1,1,4,2,1,0,0,10
8.007499665635176,21,4,2,0,1,15.0,20,4.5,1,1,4,4,2,1,1,0,27
13.969606427684226,20,5,3,1,1,15.0,35,4.1,2,1,4,5,2,1,0,0,37
13.97320677313832,20,1,3,0,1,10.0,39,4.6,2,1,4,4,2,2,1,0,44
6.058853851668898,12,5,3,1,1,10.0,34,4.7,1,2,3,3,2,0,1,0,28
17.07799287216156,21,3,3,0,1,15.0,27,4.7,1,2,4,2,2,2,3,0,42
8.007499665635176,23,2,2,0,0,15.0,30,4.8,1,1,1,3,2,1,3,0,25
17.07287190639919,18,6,3,1,1,5.0,25,4.4,1,2,2,2,2,2,3,0,39
16.818368923733058,18,6,3,1,1,5.0,25,4.7,0,0,2,6,1,1,2,0,20
2.9795028505763823,11,3,3,0,1,5.0,30,5.0,1,1,3,6,2,1,0,0,31
9.22086597503729,20,2,3,0,1,10.0,24,4.6,0,1,4,6,2,1,0,0,13
